PK_LOCALIDADE;CODIGO_REGIAO;_NOME_REGIAO;CIDADE;PAIS;ESTADO;CEP
1b0a5f5db6ad3ce7679ace09c9a8163508695baf1bf7eabffd1643f09d566a5b;5;International;N-0598 Oslo;IR;"";\"\"
34607f9784ac5488099d0dd894af89b2f629c9e28346f7450f6122db64d5e7dc;1;Western;Buffdale;US;UT;84065
69c2bf9105e4c9b1d27c03e6ec7db7e138b3382e3372a94e3d6f30ec59beb93f;2;Southern;Tulsa;US;OK;74116
309ba70569b22afc5de8b5f345d73f4dc26b8366a4088d3072254d8e0e401062;4;Central;Grand Rapids;US;MI;49512
7a64b9ebf32e19e8aa3097571bdb42a40ad4bb5c630e2b4261ae8cf6391e9075;2;Southern;Norcross;US;GA;30093
5b77f937bb338553a06d04d0a5723a5c43a30b14d2eacacb3832b5e01324cd04;0;Canada;Saskatoon;CA;SK;S7K 3S4
9bc2ebb9547e26edae40be3ebc4ef90428fd04a70a07a8bb665c3ada7ab03dbe;0;Canada;Calgary;CA;AB;T2H 0N3
e3ae963685c1172f3cbebc625a63ff5a8738dc9244f679126948c875a34ea299;3;Northeast;Salem;US;MA;1970
b6752a8b2af2d098a2bb558e64c190df861e8080906c14fdae9ec4e3750ed8df;4;Central;Cass City;US;MI;48726
348450f0646a0e579dfd5d0353ec6f907f88f73972c0ca0ef8c2721504213ee6;2;Southern;Pine Bluff;US;AR;71611-7647
983e4273abb1020d6950ac71b900342e7092bf1908f09ce23d854cc8ad297511;4;Central;St Louis Park;US;MN;55416
94edd733a8a8979433daf800e5d0a3b1eb9d5d20134c424f2bd5b0b468e37419;2;Southern;Okarche;US;OK;73762
936cc72674bee80a5d73efff4994c892f057c8b86bba4eae8f1568cd1842b3e3;2;Southern;Greenwood;US;MS;38930
09eefa111eade201fe499fe0add2db0779397f55fa6dc3c634a74bce8571be27;5;International;EE 0026 Tallinn;UK;"";\"\"
7989050895001cfe443267966494b40ac69c23fb0e727953e80e4192edda792a;5;International;Panama Rep De Panama;IR;"";\"\"
dc0e12b6a46ddcd820d96ae286dff57db1f17287387d8881a17d2828bdb708cd;5;International;Johannesburg;AU;"";\"\"
71812a8ede558a559a909d45169e742482fbfd431f91a28436b2409d07d2e97b;4;Central;Mentor;US;OH;44060
d1dd36ac4e3f4352985de1eb40dc3e1c1e5d6b74898a64352ffa93686bf53578;3;Northeast;Wester Chester;US;PA;19380
f4faa40f0afcc51a59af8973aec51e26eb87120873af3800ab596297c75465a0;5;International;Georgetown;AU;"";\"\"
6ba3952e87a3d2b7bc4d1be4a9f4e477354623c22ff862a33f68e40a08cd174c;4;Central;Canton;US;OH;44708
