PK_TEMPO;DIA;MES;ANO
997c5199b0eaf8415fe83f372bb4de9c8f68cd1096668677add74f656af04c31;03;03;2019
cc9333a8129a45c733340e47b3e3c5ffd45392517287ed99b685bf320930a489;10;03;2019
aabc8868c1463c73f12c5fa9229145aa9abbe329c9fd7b20545edab53f976568;03;03;2017
82ee15d77b72bf3e5c49b6a54f3e82d8fea364f8db3a02a6fd0005bf9e136c54;28;05;2018
fad8b1037575a0f0054f335759b37d207e260630f33f9640ecaf5dc6139d8bfd;04;12;2017
9f623fecd64b116d8da72b0ffae194fee364e23a85b9ba5ad61db412101ca402;15;12;2017
38ce536f2659bc5786d2222da8e5dba5e9776df4727f2b0eada741823219b6a4;01;02;2019
6e515f62e686e3b67790f4a5790560b4b7447dd90f3004d0ca9a9dc50878ef0b;30;01;2017
7464261b2c2179fed11086781ddacd16fa7b2887080a29a6df6b9667998fc346;26;11;2018
a739844a5f51cd54fd455fd1ef390eca99a1adf7647fc44193f501d750772e4b;21;06;2018
9e49162a6d252c1cdd2064bc11019743845d0566a2d66d7c3bb175842c72ec85;06;04;2018
b9433c771da3f3e2224af00ab23c8e9a5a3e4219858b4d93acf5d8c770824d4b;17;11;2017
3c644e515708dbe1d5fd9a1a54607b1761e1ca74107551a4d35232de3274a197;21;10;2018
d7785e408c1e5977a47667fd80a393a80a769fab7590b162e660e426146b09bb;08;01;2019
f2eb87a169c3a848dae4ddda64ab7e5604276e16759843b86ce42112531c49c4;16;03;2017
e53ad0d38dd16d6715e01d5c5ec4d76b92f4145cc969023da64872a8cc60484c;19;02;2017
7d74296665414fca53da7d7f190f58c61c944dc287794c0ef4292ce4382a9d61;12;10;2018
d304d6eaa7a5ae18560ac0d1235962c7dc1980e12f998c5723d58b441dd02af0;15;12;2018
e3d025daf495fe9288b7c6d8438672953c86b54f661ab6d6cc3c788139093841;27;08;2018
14253430b31bf1a4f49cbdd71f6ae5ae1fb7c78f458e9528ab3ae903ef4c1ad4;07;12;2017
0049e45349ed95813a51d9e83ba8dd29d3d398abc2d1dc0b21c9ac50f78a2b5a;25;01;2019
430d8276051405c7d2fa3f4e8a361a6d8937f4e6c61c5ebeee1664b755891334;02;03;2017
82bee1754155e9eb81fc892fe695c4db0f2742d73f9f000e4509c95f82845a0b;12;02;2018
